ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34723880887031555
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34723880887031555
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2525193691253662
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2525193691253662
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34568384289741516
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34568384289741516
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3461443781852722
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.3461443781852722
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.34831419587135315
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.34831419587135315
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34570619463920593
1,1,2,576,0.2,0.1,(0.95, 0.85),50,100,0.002,512,0.34570619463920593
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25254324078559875
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.25254324078559875
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2524184584617615
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.2524184584617615
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252446711063385
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.32946744561195374
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.32946744561195374
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.33065134286880493
1,1,2,1152,1.0,0.0001,(0.95, 0.85),50,100,0.002,1024,0.33065134286880493
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252542644739151
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.252542644739151
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.0022996878251433372
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.0022996878251433372
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2524018883705139
1,1,3,1152,1.0,0.01,(0.9, 0.8),100,125,0.005,1024,0.2524018883705139
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.25241830945014954
1,1,4,1152,1.0,0.0001,(0.8, 0.7),125,150,0.008,1024,0.25241830945014954
1,1,4,576,0.2,0.001,(0.8, 0.7),125,150,0.008,512,0.2525430917739868
